번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
53,"유대인, 발명된 신화",정의길 지음,한겨레엔,2022,9.79116E+12,,0,,918.63,1,0,2023-03-30
54,"우크라이나 전쟁, 이렇게 봐야 한다",박병환 지음,뿌쉬낀하우스,2023,9.79117E+12,,0,,392.1,1,0,2023-03-30
55,(그림속으로 들어간) 욕망과 탐욕의 인문학,차홍규 엮음,아이템하우스,2020,9.79116E+12,,0,,600.1,1,0,2023-03-30
56,옥스퍼드 오늘의 단어책,수지 덴트 지음;고정아 옮김,윌북,2023,9.79116E+12,,0,,744,1,0,2023-03-30
57,오빠 새끼 잡으러 간다,염기원 지음,문학세계사,2023,9.78897E+12,,0,,813.7,1,0,2023-03-30
58,엄마는 모르는 스무 살 자취생활,빵떡씨 지음,자음과모음,2022,9.78895E+12,,0,,818,1,0,2023-03-30
59,"어머니, 사교육을 줄이셔야 합니다",정승익 지음,메이트북스,2023,9.79116E+12,,0,,378.9,1,0,2023-03-30
60,어른 이후의 어른,모야 사너 지음;서제인 옮김,엘리,2023,9.79119E+12,,0,,189.1,1,0,2023-03-30
61,어떻게 하면 완전히 사라지나,필립 헤르만 [지음];[윤풍경 사진];김윤정 옮김,스틸로그라프,2021,9.7912E+12,,0,,863,1,0,2023-03-30
62,어느 미래에 당신이 없을 것이라고,목정원 지음,아침달,2023,9.79119E+12,,0,,818,1,0,2023-03-30
63,세이노의 가르침,세이노 지음,데이원,2023,9.79117E+12,,0,,199.1,1,0,2023-03-30
64,삼성동 하우스,김경래 지음,농담과진담,2022,9.7912E+12,,0,,813.7,1,0,2023-03-30
65,애덤 스미스 함께 읽기,장경덕 지음,글항아리,2023,9.79117E+12,,0,,320.15,1,0,2023-03-30
66,쇼샤,아이작 바셰비스 싱어 지음;정영문 옮김,빛소굴,2022,9.7912E+12,,0,,897.4,1,0,2023-03-30
67,삶은 살만한 가치가 있는 걸까,윌리엄 제임스 지음;박윤정 옮김,오엘북스,2022,9.7912E+12,,0,,162.41,1,0,2023-03-30
68,빵도 익어야 맛있습니다,이사 니마이어-브라운 지음;정연주 옮김,구르는재주,2021,9.7912E+12,,1,,594.71,1,0,2023-03-30
69,빛과 영원의 시계방,김희선 지음,허블,2023,9.79119E+12,,0,,813.7,1,0,2023-03-30
70,불안이라는 중독,저드슨 브루어 지음;김태훈 옮김,김영사,2021,9.78893E+12,,0,,181.845,1,0,2023-03-30
71,민주주의 공부,얀-베르너 뮐러 지음;권채령 옮김,윌북,2022,9.79116E+12,,0,,340.22,1,0,2023-03-30
